Fid,Latitude,Langitude,Fdate,Wind_Speed,First_Indicator,RAIN,Second_Indicator,Max_Temp,Third_Indicator,Min_temp,Min_grass_temp,results
216.58.217.131-10.42.0.211-443-46223-6,41.291990000000006,-73.08763237,01-01-21,13.67,0,0.2,0.0,9.5,0.0,3.7,-1.0,0
175.100.207.233-10.42.0.42-80-52261-6,41.16741635,-73.18843759,02-01-21,11.5,0,5.1,0.0,7.2,0.0,4.2,1.1,0
10.42.0.151-10.42.0.1-20919-53-17,41.03868956,-73.63528264,03-01-21,11.25,0,0.4,0.0,5.5,0.0,0.5,-0.5,0
10.42.0.211-10.42.0.1-60868-53-17,41.43886103,-73.40586799,04-01-21,8.63,0,0.2,0.0,5.6,0.0,0.4,-3.2,1
172.217.3.110-10.42.0.42-443-51315-6,41.03246509,-73.64025368,05-01-21,11.92,0,10.4,0.0,7.2,1.0,-1.5,-7.5,0
10.42.0.1-10.42.0.42-53-37319-17,41.25138079999999,-73.29504518,06-01-21,10.67,0,0.0,0.0,6.5,0.0,1.2,-2.0,0
10.42.0.211-103.43.91.12-38446-443-6,41.21817096,-73.20153691,07-01-21,9.17,0,1.9,0.0,9.2,1.0,-2.4,-7.1,1
10.42.0.151-52.84.29.137-39495-443-6,41.38099407,-73.28094678,08-01-21,14.29,0,0.0,0.0,6.6,0.0,3.1,0.0,0
10.42.0.42-66.231.239.125-46317-443-6,41.14876104,-73.28587186,09-01-21,8.04,0,8.3,0.0,6.8,0.0,2.4,-0.8,1
175.100.207.231-10.42.0.211-80-57270-6,41.37920073,-73.35530869,10-01-21,11.42,0,0.0,0.0,6.5,0.0,3.0,0.5,0
10.42.0.211-10.42.0.1-36779-5351-17,41.26041515,-73.42846392,11-01-21,7.54,0,0.5,0.0,10.0,1.0,-3.1,-7.7,1
10.42.0.211-121.12.98.85-52033-80-6,30.35841995,-97.95460444,12-01-21,15.54,0,6.0,0.0,12.2,1.0,-3.3,,0
202.77.129.150-10.42.0.211-80-54488-6,41.13691902,-73.36574725,13-01-21,4.63,0,0.0,0.0,13.1,0.0,5.5,3.3,1
10.42.0.211-10.42.0.1-25207-53-17,41.073751200000004,-73.51692887,14-01-21,3.08,0,0.0,0.0,5.6,1.0,-3.2,-6.1,1
222.73.28.96-10.42.0.42-80-43327-6,41.03653867,-73.52481887,15-01-21,2.5,0,0.0,0.0,4.4,1.0,-5.0,-8.3,1
198.11.189.2-10.42.0.211-443-41996-6,41.13467946,-73.37345886,16-01-21,9.25,0,0.0,0.0,4.6,1.0,-4.2,-8.3,1
10.42.0.151-31.13.67.11-49672-443-6,41.20019065,-73.25350969,17-01-21,13.42,0,2.0,0.0,9.3,0.0,3.2,-2.7,0
10.42.0.211-23.21.95.195-56350-443-6,41.33012465,-73.20921803,18-01-21,17.83,0,8.4,0.0,10.1,0.0,4.3,5.1,0
10.42.0.211-10.42.0.1-12459-53-17,41.281925799999996,-73.50517740000001,19-01-21,3.71,0,0.9,0.0,6.6,0.0,1.6,-2.0,1
10.42.0.211-10.42.0.1-39702-53-17,41.23817816,-73.22313433,20-01-21,3.17,0,21.5,0.0,9.3,1.0,-0.6,-5.4,1
202.77.129.150-10.42.0.211-80-35279-6,41.23995837,-73.14498183,21-01-21,8.04,0,0.2,0.0,10.1,0.0,1.6,0.4,1
10.42.0.211-119.146.74.33-50741-443-6,41.15707908,-73.5982361,22-01-21,9.38,0,0.3,0.0,6.5,0.0,5.5,1.3,1
10.42.0.151-10.42.0.1-17300-53-17,41.04730443,-73.62409839,23-01-21,13.7,0,0.0,0.0,6.5,0.0,5.5,2.2,0
10.42.0.1-10.42.0.42-53-28275-17,41.07268242,-73.60271924,24-01-21,20.38,0,9.5,0.0,5.3,0.0,3.4,0.5,0
216.58.217.99-10.42.0.42-443-60671-6,41.09198213,-73.53416884,25-01-21,9.25,0,0.0,0.0,4.3,0.0,2.2,1.1,1
10.42.0.211-10.42.0.1-7075-53-17,41.14290169,-73.55290111,26-01-21,14.33,0,0.7,0.0,13.0,0.0,2.2,-1.6,0
172.217.9.238-10.42.0.42-443-46353-6,41.11419047,-73.65385924,27-01-21,16.79,0,1.5,0.0,12.3,0.0,3.7,2.7,0
173.222.150.38-10.42.0.211-443-37090-6,41.36457277,-73.49872547,28-01-21,12.25,0,2.8,0.0,12.0,0.0,4.8,-2.2,0
10.42.0.211-10.42.0.1-62754-53-17,29.54673604,-95.18118826,29-01-21,22.0,0,6.2,0.0,12.6,0.0,4.4,1.2,0
172.217.12.174-10.42.0.151-443-53918-6,30.74859548,-98.67679205,30-01-21,14.5,0,1.4,0.0,7.8,0.0,3.7,0.8,0
10.42.0.1-10.42.0.42-53-47542-17,29.62518,-95.594861,31-01-21,14.88,0,4.7,0.0,7.2,0.0,2.1,-0.5,0
10.42.0.211-10.42.0.1-39207-53-17,26.18036576,-98.08235842,01-02-21,10.17,0,2.1,0.0,8.7,0.0,1.0,-2.2,0
10.42.0.151-10.42.0.1-57264-53-17,29.41135142,-95.03886392,02-02-21,10.88,0,0.1,0.0,8.1,0.0,1.0,1.0,0
205.204.101.182-10.42.0.211-443-41735-6,30.57865283,-98.26720823,03-02-21,8.5,0,4.0,0.0,8.1,1.0,-0.6,-5.0,1
163.177.93.221-10.42.0.151-80-54497-6,27.66522849,-97.35788937,04-02-21,12.54,0,5.7,0.0,11.3,0.0,0.0,-1.1,0
172.217.10.238-10.42.0.42-443-48994-6,32.92149603,-96.7764887,05-02-21,13.96,0,8.6,0.0,13.5,0.0,4.7,2.1,0
203.205.179.170-10.42.0.211-80-47931-6,32.051120000000004,-102.126511,06-02-21,19.17,0,0.5,0.0,7.8,0.0,2.1,1.5,0
10.42.0.211-98.139.199.204-41287-443-6,29.72600046,-95.38283288,07-02-21,14.21,0,0.3,0.0,11.6,0.0,3.2,0.7,0
10.42.0.211-10.42.0.1-64946-53-17,29.57669649,-95.5842782,08-02-21,16.5,0,4.4,0.0,14.6,0.0,4.4,2.4,0
10.42.0.211-10.42.0.1-16209-53-17,33.6177213,-96.19402779999999,09-02-21,14.37,0,0.3,0.0,11.7,0.0,6.4,3.2,0
162.208.22.39-10.42.0.42-443-55490-6,32.72910845,-97.33571468,10-02-21,11.08,0,0.8,0.0,10.7,0.0,7.3,3.1,0
10.42.0.211-121.12.98.62-51889-80-6,41.13744517,-73.41716503,11-02-21,17.5,0,3.5,0.0,11.3,0.0,7.3,3.8,0
10.42.0.211-125.39.83.108-43416-443-6,41.77105209,-72.74728780000001,12-02-21,11.71,0,0.0,0.0,15.5,0.0,7.1,4.3,0
172.217.3.110-10.42.0.151-443-43755-6,41.03790597,-73.62627796,13-02-21,16.08,0,0.0,0.0,12.7,0.0,8.8,6.0,0
10.42.0.211-52.71.180.249-57772-443-6,41.18629176,-73.20016650000001,14-02-21,15.46,0,0.0,0.0,13.3,0.0,10.0,7.7,0
10.42.0.211-106.39.169.66-42035-80-6,41.23747461,-73.18388044,15-02-21,5.17,0,0.0,0.0,13.8,0.0,2.5,-3.3,1
10.42.0.151-10.42.0.1-62834-53-17,41.45424638,-73.40208792,16-02-21,3.42,0,0.0,0.0,12.1,0.0,2.5,-2.6,1
172.217.10.68-10.42.0.151-443-44822-6,41.13369729,-73.28404051,17-02-21,6.17,0,0.0,0.0,11.7,0.0,4.4,-0.4,1
172.217.6.238-10.42.0.151-80-56548-6,41.16074179,-73.25420661,18-02-21,10.88,0,0.0,0.0,13.3,0.0,6.0,4.3,0
203.205.158.61-10.42.0.151-80-32774-6,41.17290389,-73.29054162,19-02-21,9.62,0,0.0,0.0,14.5,0.0,8.2,-0.4,1
219.142.78.162-10.42.0.211-80-59568-6,41.1436389,-73.2510187,20-02-21,7.25,0,0.0,0.0,13.1,0.0,5.3,-1.5,1
10.42.0.211-66.198.24.243-47351-80-6,41.11905213,-73.31461533,21-02-21,3.75,0,0.0,0.0,8.6,0.0,4.7,-2.1,1
172.217.10.110-10.42.0.151-443-36404-6,41.06922163,-73.62607937,22-02-21,8.25,0,0.0,0.0,7.5,0.0,5.1,2.5,1
10.42.0.151-10.42.0.1-28654-53-17,41.38996242,-73.43004499999999,23-02-21,16.38,0,4.6,0.0,8.8,0.0,5.1,2.2,0
172.217.11.42-10.42.0.42-443-48085-6,41.38238712,-73.45317757,24-02-21,8.17,0,0.7,0.0,11.0,0.0,6.1,4.4,1
10.42.0.211-31.13.71.52-34886-443-6,41.67371317,-72.94934593,25-02-21,13.08,0,3.2,0.0,9.8,0.0,2.7,-1.3,0
172.217.10.35-10.42.0.151-443-47801-6,41.1795191,-73.1963052,26-02-21,21.17,0,2.1,0.0,14.5,0.0,5.2,1.0,0
222.73.28.96-10.42.0.211-80-32805-6,41.64237869,-72.79417983,27-02-21,12.75,0,3.1,0.0,10.1,0.0,4.8,1.1,0
192.229.173.173-10.42.0.42-80-43050-6,41.22406198,-73.24640695,28-02-21,14.75,0,1.0,0.0,10.6,0.0,3.8,0.7,0
192.229.163.180-10.42.0.211-443-36632-6,41.05001744,-73.47958952,01-03-21,10.25,0,0.7,0.0,12.7,0.0,8.1,5.0,0
10.42.0.211-106.39.169.66-53144-80-6,41.21798582,-73.22314735,02-03-21,10.88,0,0.0,0.0,12.2,0.0,7.2,4.3,0
10.42.0.211-31.13.71.40-45436-443-6,41.15613028,-73.22567683,03-03-21,11.29,0,0.0,0.0,12.2,0.0,3.0,-1.6,0
10.42.0.211-52.84.1.220-52105-443-6,41.18040338,-73.19670465,04-03-21,6.21,0,0.0,0.0,11.8,0.0,2.8,0.5,1
10.42.0.151-121.29.54.142-59448-80-6,41.74039445,-72.68528287,05-03-21,5.5,0,0.0,0.0,17.2,0.0,0.0,-3.2,1
172.217.10.138-10.42.0.151-443-40395-6,41.24547922,-73.15551261,06-03-21,2.83,0,0.0,0.0,14.4,0.0,4.3,1.3,1
10.42.0.42-52.197.242.223-34111-443-6,41.10047502,-73.53274012,07-03-21,3.63,0,0.0,0.0,14.7,0.0,6.0,2.3,1
10.42.0.211-104.97.95.172-39659-80-6,41.74763082,-72.60194190000001,08-03-21,1.71,0,0.0,0.0,15.1,0.0,4.4,0.8,1
192.229.173.173-10.42.0.211-80-42620-6,41.42847232,-73.43898348,09-03-21,3.75,0,0.0,0.0,14.2,0.0,6.1,1.6,1
172.217.12.208-10.42.0.42-443-44142-6,41.18948162,-73.12953144,10-03-21,8.79,0,0.0,0.0,11.8,0.0,6.7,3.8,1
10.42.0.211-47.89.69.217-38707-443-6,41.40008809,-73.45907194,11-03-21,10.34,0,0.0,0.0,14.6,0.0,5.7,2.4,0
172.217.12.170-10.42.0.42-443-32821-6,41.26182953,-73.16473911,12-03-21,17.12,0,0.1,0.0,13.4,0.0,4.8,,0
172.217.10.226-10.42.0.211-443-40200-6,41.31828517,-73.097026,13-03-21,13.96,0,0.0,0.0,15.5,0.0,10.5,9.0,0
10.42.0.211-69.90.153.134-57505-443-6,41.298062200000004,-73.14706651,14-03-21,8.12,0,0.0,0.0,15.5,0.0,9.5,5.0,1
10.42.0.211-10.42.0.1-56268-53-17,41.37387319,-73.38776825,15-03-21,11.54,0,0.0,0.0,16.2,0.0,7.1,0.5,0
10.42.0.211-10.42.0.1-7702-53-17,41.41432738,-73.29782899,16-03-21,2.75,0,0.0,0.0,18.8,0.0,2.2,-1.2,1
151.101.1.140-10.42.0.151-443-60708-6,41.14003085,-73.26215543,17-03-21,13.0,0,0.0,0.0,9.7,0.0,2.1,-1.5,0
198.105.244.11-10.42.0.151-80-48875-6,41.12394963,-73.54934716,18-03-21,13.17,0,0.5,0.0,10.2,0.0,2.8,0.4,0
10.42.0.211-103.235.46.39-40646-80-6,41.13987263,-73.60078271,19-03-21,7.75,0,0.0,2.0,9.6,0.0,3.3,-1.6,1
239.255.255.250-10.42.0.1-1900-35024-17,41.12621083,-73.59864601,20-03-21,15.41,0,0.0,0.0,11.8,0.0,2.3,-2.2,0
173.194.208.138-10.42.0.151-443-53828-6,41.1679052,-73.41099297,21-03-21,8.17,0,0.0,0.0,10.3,0.0,1.7,-1.7,1
203.205.158.34-10.42.0.211-80-37950-6,41.09183588,-73.53426403,22-03-21,8.0,0,0.0,0.0,12.7,0.0,3.1,-1.8,1
10.42.0.151-119.146.74.33-41910-443-6,41.77193517,-72.54862906,23-03-21,10.88,0,0.0,0.0,9.4,0.0,5.5,5.0,0
172.217.2.174-10.42.0.151-443-46738-6,41.77601028,-72.84050545,24-03-21,8.46,0,0.0,0.0,14.5,0.0,6.1,5.2,1
203.205.158.63-10.42.0.42-80-48932-6,41.771199200000005,-72.74734396,25-03-21,10.75,0,0.0,0.0,12.2,0.0,3.2,-1.6,0
180.149.136.247-10.42.0.211-80-56118-6,41.78214303,-72.52482423,26-03-21,13.75,0,0.3,0.0,11.8,0.0,8.4,5.5,0
10.42.0.211-104.192.110.245-38572-443-6,41.79555142,-72.52744679,27-03-21,6.75,0,0.0,0.0,11.7,1.0,-0.8,-5.0,1
10.42.0.211-10.42.0.1-43900-53-17,41.97194625,-72.59314470000001,28-03-21,10.88,0,1.1,0.0,13.3,0.0,0.4,-2.6,0
172.217.12.165-10.42.0.151-443-49662-6,41.84946236,-72.83407473,29-03-21,16.62,0,1.8,0.0,14.7,2.0,7.5,5.5,0
8.0.6.4-8.6.0.1-0-0-0,41.78096549,-72.72864759999999,30-03-21,14.79,0,1.8,0.0,13.8,0.0,9.5,8.6,0
10.42.0.211-111.221.77.165-60774-443-17,41.78396396,-72.69488917,31-03-21,11.92,0,1.1,0.0,14.5,0.0,7.1,2.7,0
172.217.3.106-10.42.0.211-443-59024-6,41.80333753,-72.75018048,01-04-21,11.67,0,2.5,0.0,13.7,0.0,8.8,7.7,0
10.42.0.151-10.42.0.1-2767-53-17,41.68680098,-72.94050995,02-04-21,5.25,0,0.0,0.0,10.3,0.0,5.2,5.0,1
216.58.219.202-10.42.0.211-443-35387-6,41.79022469,-72.74638886,03-04-21,5.5,0,2.6,0.0,6.6,0.0,3.4,3.2,1
10.42.0.211-50.17.250.36-43335-443-6,41.75813447,-72.73556076,04-04-21,6.0,0,9.6,0.0,10.8,0.0,3.8,1.6,1
10.42.0.42-123.125.115.164-53727-443-6,41.72348031,-72.82925242,05-04-21,9.25,0,4.2,0.0,14.3,0.0,4.7,4.2,1
10.42.0.211-10.42.0.1-7142-53-17,41.77095298,-72.74725082,06-04-21,5.0,0,0.0,0.0,11.8,0.0,8.0,6.3,1
10.42.0.211-10.42.0.1-11812-53-17,41.76818823,-72.65543933,07-04-21,5.33,0,0.0,0.0,10.2,0.0,1.1,-0.5,1
10.42.0.211-123.134.184.160-44605-80-6,41.79950465,-72.75327802,08-04-21,8.71,0,8.1,0.0,12.1,0.0,3.8,-0.8,1
10.42.0.211-10.42.0.1-49548-53-17,41.8679124,-72.63739699999999,09-04-21,9.96,0,1.9,0.0,12.0,0.0,8.8,8.3,1
10.42.0.151-10.42.0.1-60391-53-17,41.65139456,-72.78863116,10-04-21,5.21,0,1.9,0.0,14.4,0.0,9.4,9.0,1
172.217.10.109-10.42.0.42-443-53367-6,41.67194303,-72.7886184,11-04-21,5.66,0,5.8,0.0,16.1,0.0,3.7,-0.2,1
202.77.129.150-10.42.0.211-80-57104-6,41.75121609,-72.76589778,12-04-21,6.54,0,7.8,0.0,13.7,0.0,10.4,9.3,1
183.79.248.252-10.42.0.42-443-47735-6,41.67033396,-72.94629452,13-04-21,8.0,0,0.1,0.0,15.0,0.0,9.0,3.1,1
172.217.10.74-10.42.0.151-443-37794-6,41.98657835,-72.59942913,14-04-21,4.29,0,0.5,0.0,14.6,0.0,7.0,3.3,1
10.42.0.211-40.78.71.48-48476-443-6,41.79116947,-72.52541892,15-04-21,2.46,0,0.0,0.0,12.7,0.0,3.4,0.0,1
10.42.0.211-23.206.166.62-57616-80-6,41.73607803,-72.73587657,16-04-21,2.88,0,0.0,0.0,12.2,0.0,2.3,-1.2,1
172.217.11.10-10.42.0.151-443-36800-6,41.85219629,-72.64801092,17-04-21,4.46,0,0.0,0.0,15.5,0.0,3.8,-0.8,1
10.42.0.211-123.125.29.220-56058-80-6,41.67754626,-72.93867968,18-04-21,5.66,0,0.2,0.0,10.7,0.0,6.7,3.6,1
10.42.0.1-10.42.0.42-53-30903-17,41.67469226,-72.90294990000001,19-04-21,12.96,0,3.7,0.0,11.6,0.0,7.6,-1.1,0
172.217.3.98-10.42.0.211-443-52501-6,41.66209234,-72.78060172,20-04-21,12.25,0,1.0,0.0,12.4,0.0,7.5,,0
172.217.10.110-10.42.0.151-443-42558-6,41.63453238,-72.77134222,21-04-21,9.5,0,3.6,0.0,16.4,0.0,8.4,1.6,1
10.42.0.211-31.13.65.52-53779-443-6,41.59586706,-72.88204284,22-04-21,7.46,0,11.0,0.0,12.6,0.0,9.3,3.8,1
183.79.250.123-10.42.0.211-443-33951-6,41.80089957,-72.74769958,23-04-21,10.71,0,1.8,0.0,12.8,0.0,6.7,1.3,0
151.101.45.140-10.42.0.211-443-48547-6,41.81154383,-72.79789362,24-04-21,5.25,0,2.8,0.0,13.8,0.0,2.4,-2.2,1
10.42.0.151-121.29.54.142-59448-80-6,41.82673558,-72.74323548,25-04-21,13.75,0,17.2,0.0,12.8,0.0,7.7,1.1,0
192.229.173.173-10.42.0.151-80-38490-6,41.85110438,-72.83360851,26-04-21,6.0,0,0.0,0.0,16.2,0.0,6.7,-0.1,1
10.42.0.211-23.219.23.166-50692-80-6,41.78618305,-72.52587322,27-04-21,6.25,0,0.0,0.0,16.8,0.0,7.2,1.6,1
219.142.78.162-10.42.0.151-80-54668-6,41.83919501,-72.66247062,28-04-21,2.67,0,0.0,0.0,15.5,0.0,2.7,-2.6,1
10.42.0.151-64.71.142.96-60882-443-6,41.85781193,-72.63520707,29-04-21,4.04,0,4.0,0.0,15.7,0.0,7.1,3.8,1
10.42.0.42-106.11.94.6-59611-443-6,29.78845692,-95.34157106,30-04-21,5.09,0,1.6,0.0,16.5,0.0,9.0,,1
10.42.0.211-104.192.108.27-36464-80-6,32.71466356,-100.9177608,01-05-21,9.96,0,7.3,0.0,19.2,0.0,8.2,,1
10.42.0.211-122.225.81.61-40754-80-6,41.22274555,-73.06522089,02-05-21,10.46,0,3.4,0.0,13.0,0.0,7.7,,0
10.42.0.1-10.42.0.42-53-19854-17,41.60056758,-72.66524893,03-05-21,9.5,0,0.4,0.0,15.5,0.0,7.4,6.6,1
10.42.0.211-66.102.255.40-33138-443-6,41.34928822,-73.07961008,04-05-21,5.96,0,2.0,0.0,16.7,0.0,10.5,7.8,1
10.42.0.211-119.146.74.48-39740-80-6,41.47138331,-72.88129834,05-05-21,9.13,0,0.7,0.0,16.1,0.0,6.2,3.0,1
10.42.0.211-10.42.0.1-25647-53-17,41.32821906,-72.92090237,06-05-21,16.83,0,0.8,0.0,15.5,0.0,9.2,6.2,0
